authors,title,series,genres,availability,publication_date,editor,pages,isbn,summary,cover_path
"Auster, Paul",Leviathan,,Roman,,1992,Faber and Faber,245,9780571276615,"The explosion that detonates the narrative of Paul Auster's remarkable novel also ends the life of its hero, Benjamin Sachs, and brings two FBl agents to the house of his oldest
friend, the writer Peter Aaron. What follows is Aaron's complex and moving account of Sachs secret life, as Aaron attempts, through testimony, to make sense of his friend's challenge to the complacency of modern life.",/MyLibrary/Images/Books/76.png
"Auster, Paul",The New York Trilogy,,Roman,,05/05/2011,Faber and Faber,320,9780571276554,"In three brilliant variations on the classic detective story, Paul Auster makes the well-traversed terrain of New York City his own, as it becomes a strange, compelling landscape in which identities merge or fade and questions serve only to further obscure the truth.",/MyLibrary/Images/Books/77.png
"Bachelard, Gaston",L'eau et les rêves,,Philosophie,,1942,,265,OCLC:456021216,,/MyLibrary/Images/Books/8.png
"Bain, Carolyn; Bonetto, Cristian",Danemark,,Voyage,,04/06/2015,Lonely Planet,320,9782816148374,,/MyLibrary/Images/Books/274.png
"Balandier, Pierre",Héros & Dragons - Cadre de Campagne,,"Jeu, JDR",,,Black Book Editions,328,9782363282934,,/MyLibrary/Images/Books/275.png
"Balandier, Pierre",Héros & Dragons - Créatures & Oppositions,,"Jeu, JDR",,,Black Book Editions,392,9782363282972,,/MyLibrary/Images/Books/277.png
"Balandier, Pierre",Héros & Dragons - Manuel des Règles,,"Jeu, JDR",,,Black Book Editions,420,9782363282897,,/MyLibrary/Images/Books/276.png
"Balzac, Honoré de",Le Lys dans la vallée,,Roman,,01/02/1972,Le Livre de Poche,504,9782253004448,"""Les femmes les plus vertueuses ont en elles quelque chose qui
n'est jamais chaste."" Cette remarque de Balzac peut sappliquer à Mme de Mortsauf, lys blanc et pavot rouge. Félix de Vandenesse souffre de la réserve d'Henriette de Mortsauf à qui il voue depuis son adolescence un amour total ; il tue pourtant cette femme en l'idéalisant, en lui imposant une pureté contre laquelle elle se révolte au moment de son agonie. Le Lys dans la vallée est le roman des désirs qui se croisent et des lettres qui ne parviennent pas à créer un véritable échange.
Dans une longue confession épistolaire - qui constitue la plus
grande partie du roman – destinée à sa fiancée Natalie, Félix fait le récit de cet amour. L'ironique réponse de Natalie consacrera la rupture des fiançailles.
Le Lys dans la vallée est le roman de toutes les ambiguités. La blanche Henriette est aussi un stratège politique machiavélique qui apprend à Félix l'art du pouvoir. Alors quelle est monar-
chiste et légitimiste, elle ne peut s'empêcher d'admirer Napoléon. Roman écrit sous la Monarchie de Juillet, par un auteur qui prône une réforme de l'aristocratie tout en la défendant, Le Lys dans la vallée laisse entrevoir la critique de la Restauration dans une scène de la vie privée.",/MyLibrary/Images/Books/79.png
"Baraka, Sarah; Larretgère, Emma",DES LIES,,Poésie,,2018,,,,,/MyLibrary/Images/Books/11.png
"Bardugo, Leigh; Riveline, Anath",Six of Crows,Six of Crows (tome 1),Fantasy,,11/10/2017,Livre de Poche Jeunesse,564,9782016265376,"Les bas-fonds de Ketterdam s'organisent en gangs rivaux. L'homme le plus ambitieux et le plus jeune de la pègre est Kaz Brekker : aussi brillant que mystérieux, aussi charismatique que dangereux, et surtout, connu
pour être un voleur hors pair. Prêt à tout pour de l'argent, il accepte la mission du riche marchand
Van Eck: délivrer un savant du palais de Glace, réputé imprenable. Ce prisonnier est I'inventeur du jurda parem, une drogue multipliant sans limite les pouvoirs Surnaturels de la caste des magiciens: les Grishas.
Une drogue qui, tombée dans les mauvaises mains, risque d'engendrer un chaos irrêversible.",/MyLibrary/Images/Books/31.png
