authors,title,series,genres,availability,publication_date,editor,pages,isbn,summary,cover_path
"FERENC, KARINTHY",Épépé,,Roman,,03/10/2013,ZULMA,284,9782843046605,"""Les étranges divagations d'un polyglotte érudit, Budaï, qui quitte les rives du Danube et croit s'envoler pour Helsinki afin de participer à un congrès de linguistique. Hélas ! à la suite d'une erreur d'aiguillage, son avion atterrit dans une ville peuplée d'allumés qui parlent un jargon incohérent, parfaitement inintelligible. Sommes-nous aux portes de Babel ? Sans doute.
Quant au malheureux Budaï, il en perdra son latin : on dirait un petit frère de Zazie égaré au pays des Houyhnhnms chers à Jonathan Swift. Épatant.""
André Clavel
L'Express",/MyLibrary/Images/Books/120.png
"Ferguson, John Alexander",Death Comes to Perigord,,Policier,,1931,The Albatros Crime Club,251,OCLC:560079699,"Having temporarily taken over Dr. Wright's practice on the island of Guernsey, Dr. Dunn has in mind a few months of peace and relaxation, punctuated with light and undemanding medical duties away from the hustle and bustle of mainland life. But this is not to be. A routine call on a patient with heart trouble leads to a hunt for a man suspected of homicidal mania – and when a dead body is discovered in suspicious circumstances, Dunn finds himself in a pitched battle with authorities who seem determined to deny foul play when the medical evidence points to the contrary.

Luckily for Dunn, his friend Francis McNab, the celebrated detective, is on hand to provide a second opinion…


Originally published in 1931, this is a vintage murder mystery from the golden age of crime fiction.",/MyLibrary/Images/Books/112.png
Fibretigre,"ARIA : La couronne, le sceptre, et l’orbe",,JDR,,14/01/2021,Elder-Craft,418,9782380240139,"Seconde partie d’Aria, le JdR de Fantasy joué dans l’émission « Game of Rôles ». La couronne, le sceptre et l’orbe contient les règles du jeu vous permettant de créer vos personnages et de jouer dans l’univers d’Aria. Le Sultanat d’Aqabah détient le sceptre du Roi des Rois et refuse de le rendre au royaume d’Aria... Le souverain de la plus grande cité du Monde ordonne une croisade pour reprendre l’artefact qui lui confère l’autorité de droit divin. Si l’engrenage des alliances entre en marche, il embrasera le monde, Cette guerre qui menace, vous concerne-t-elle ? Peut-être, peut-être pas, car à Aria l’aventure est partout ! Cet ouvrage vous emmènera à Aqabah, cité de la sagesse ; mais aussi visiter le Grand Vide, un désert mortel, ainsi que la mystérieuse cité d’Irem, scellée par trois portes-énigmes, à Kniga, la ville machine que se disputent alchimistes et créateurs d’automates ; peut-être oserez-vous traverser le Mur de Varna et découvrir l’Osmanlie ? Où les Dieux marchent parmi les hommes... Et où les hommes peuvent espérer devenir des Dieux. Bien que La guerre des deux royaumes et La couronne, le sceptre, et l’orbe forment une campagne complète, il n’est pas nécessaire de posséder les deux ouvrages pour jouer. En effet, vous pouvez aussi choisir de commencer l’aventure par les péripéties de cet ouvrage. En plus des sept profils d'aventuriers de base (aventurier, mage d’Aria, alchimiste, voleur, miséricordieux, guerrier et noble), La couronne, le sceptre et l’orbe vous propose deux profils d'aventuriers inédits : Le créateur d’automates et le prodige.",/MyLibrary/Images/Books/282.png
Fibretigre,ARIA : La guerre des deux royaumes,,JDR,,14/01/2021,Elder-Craft,418,9782380240122,"Première partie d’Aria, le JdR de Fantasy joué dans l’émission « Game of Rôles ». La guerre des deux royaumes contient les règles du jeu vous permettant de créer vos personnages et de jouer dans l’univers d’Aria. Le Sultanat d’Aqabah détient le sceptre du Roi des Rois et refuse de le rendre au royaume d’Aria... Le souverain de la plus grande cité du Monde ordonne une croisade pour reprendre l’artefact qui lui confère l’autorité de droit divin. Si l’engrenage des alliances entre en marche, il embrasera le monde, Cette guerre qui menace, vous concerne-t-elle ? Peut-être, peut-être pas, car à Aria l’aventure est partout ! Dans cette première partie, vous visiterez Aria, la plus riche des nations, Vandermere qui borde la mer de la morsure, Altabianca, une île redoutée et convoitée par le monde, Espéranza, repère secret de la confrérie des pirates et le Pays Môn, où un comté entier vit sous la domination d’un peuple mystérieux. Bien que La guerre des deux royaumes et La couronne, le sceptre, et l’orbe forment une campagne complète, il n’est pas nécessaire de posséder les deux ouvrages pour jouer, La guerre des deux royaumes est suffisant pour commencer l’aventure. En plus des sept profils d'aventuriers de base (aventurier, mage d’Aria, alchimiste, voleur, miséricordieux, guerrier et noble), La guerre des deux royaumes vous propose également d’incarner deux profils inédits : les Mages de Varna.",/MyLibrary/Images/Books/281.png
Fibretigre,ARIA : Le livre des petites Magies,,Fantasy,,06/11/2020,Elder-Craft,69,9782380240153,"Le livre des petites magies est une nouvelle de FibreTigre.
Perdu à la frontière du royaume d’Aria et de l’Osmanlie, un apprenti magicien en quête de savoir – mais aussi, tout simplement, d’un toit et d’un peu de nourriture – plonge malgré lui dans une grande aventure pour libérer un village. Le livre des petites magies est une nouvelle introductive qui retranscrit le début de la campagne jusqu’à la confrontation avec le Seigneur du Rideau.",/MyLibrary/Images/Books/280.png
FibreTigre,ARIA : Voyage en Osmanlie,,"Jeu, JDR",,23/06/2021,Elder-Craft,224,9782380240146,,/MyLibrary/Images/Books/279.png
"Finkelstein, Israel; Silberman, Neil Asher; Ghirardi, Patrice",La Bible dévoilée: Les nouvelles révélations de l'archéologie,,,,15/01/2004,Folio,560,9782070429394,,/MyLibrary/Images/Books/301.png
"Fleming, Jacky",Le Problème avec les femmes,,Essai,,21/10/2016,Dargaud,,9782205076110,"LES FEMMES PEUVENT-ELLES ÉTRE DES GÉNIES, OU LEURS BRAS SONT-ILS TROP COURTS ?

POURQUOI N'AVONS-NOUS ENTENDU PARLER QUE DE DEUX/TROIS FEMMES À L'ÉCOLE?

QUE FAISAIENT TOUTES LES AUTRES ?

""Jacky Fleming utilise l'absurdité d'affirmations de Freud, Schopenhauer ou Darwin à propos des femmes pour montrer quel point la reine Victoria, Marie Curie ou la marquise du Châtelet ont été empêchées de penser, de découvrir, d'évoluer parce qu'elles avaient un vagin. Une démonstration drôle portée par une histoire... de cheveux. Réjouissant.""
Mélissa Bounoua, Slate.fr

""Un message simple qui, pourtant, ne peut jamais être trop répété.""
Laura Sneddon, The Independent",/MyLibrary/Images/Books/63.png
"Fossey, Dian",Gorillas in the Mist,,Autobiographie,,03/05/2001,Weidenfeld & Nicolson,396,9780753811412,"A magnificent, tragic and unputdownable account of four gorilla families.
For thirteen years Dian Fossey lived and worked with Uncle Bert, Flossie, Beethoven, Pantsy and Digit in the remote rainforests of the volcanic Virunga Mountains in Africa, establishing an unprecedented relationship with these shy and affectionate beasts.
In her base camp 10,000 feet above sea-level, she struggled daily with rain, loneliness and the ever-constant threat of poachers who slaughtered her beloved gorillas with horrifying ferocity.
African adventure, personal quest and scientific study, Gorillas in the Mist is a unique and intimate glimpse into a vanishing world and a vanishing species.",/MyLibrary/Images/Books/212.png
"Frey, Pascale; Bravi, Soledad",Avez-vous lu les classiques de la littérature ?,,,,06/11/2019,RUE DE SEVRES,168,9782810200009,,/MyLibrary/Images/Books/303.png
"Gagnebin, Philippe",Petite suite de lumière et de vents,,Poésie,,1989,,40,2883660042,,/MyLibrary/Images/Books/5.png
"Galaxie, Jess",Feathers of Dawn,,"Fantasy, Romance",,03/11/2023,Independently published,260,9798866348084,"Enter the hoard or a Sterling Dragon with Asith as he tries to survive long enough to escape.
After retiring from the dragon knights, Asith Evourin is living a quiet life after many dangerous years fighting blue and green dragons who laid waste to the towns along the edges of Cairn. He never thought he' d have
to face another dragon head on, but knew when he saw the Bronze dragon fluttering towards his small village, that he'd have to pick up his axe again.

He was sure it would be a suicide mission, that the dragon would pick him up and let him fall to his death before Asith even got a word out, but he had to try to talk to the dragon-he was the only one that could. Asith thought he had failed when the dragon's claws came down upon him, but
to his horror the dragon kept him alive, carrying him to their hoard, not to make a meal of him, but to be a precious part of their collection.

Now, Asith must try to escape or convince Dradevai to take him
home. The only problem? He didn't expect Dradevai to be such a lonely, gentle soul. Maybe befriending Dradevai was the better option, but that left Asith to reckon with the nature of dragons, his homeland,
and his time as a dragon knight.",/MyLibrary/Images/Books/36.png
"Gemmell, David; Névant, Alain",Légende,,Fantasy,,20/11/2000,Bragelonne,400,9782914370028,"Druss est une légende. Ses exploits sont connus de tous. Mais au lieu de la richesse et de la célébrité, il a choisi de vivre retiré loin des hommes, au sommet d'une montagne, avec pour seuls compagnons quelques léopards des neiges. Là, le vieux guerrier attend son ennemi de toujours, la mort. Dros Delnoch est une forteresse. C'est le seul endroit par lequel une armée peut traverser les montagnes. Protégée par six remparts, elle était la place forte de l'Empire drenaï. C'est maintenant leur dernier bastion, car tous les autres sont tombés devant l'envahisseur Nadir. Son seul espoir : le vieux guerrier.",/MyLibrary/Images/Books/302.png
"Genet, Jean",Les Bonnes,,Théâtre,,24/01/2001,Folio,257,9782070412815,"Madame est bonne. Madame est riche. Madame est belle. Madame est généreuse. Serait-ce pour ces raisons que Solange et Claire, ses deux bonnes, décident de la tuer ? La tragédie, le drame et la comédie se nouent autour de ces trois personnages à la recherche de leur identité. Créée en 1947, Les Bonnes sont aujourd'hui la pièce de Genet la plus représentée dans le monde.",/MyLibrary/Images/Books/263.png
"Gentilleau, Tiphaine; Les Filles De Simone",Les Secrets d'un gainage efficace,,Théâtre,,02/01/2019,Actes Sud,56,9782330118068,"""Est-ce que le groupe est au complet ? Très bien, alors je vous invite à revêtir les équipements... [...] Commençons notre visite par l'observation de la partie externe. Je vous propose de prendre un peu de recul pour avoir une vision d'ensemble de ce que certains d'entre vous appellent l'abricot, la pépette, la moule, le con, la chatte, ou même par erreur le vagin, mais qui a pourtant un petit nom bien à elle : la vulve. Vous voyez sur les côtés deux coussins molletonnés et pileux, qư'on nomme les grandes lèvres et qui protègent des chocs ces deux pétales rouge violacé, ondulés comme des collerettes, appelés petites lèvres.""

Le collectif Les Filles de Simone a été fondé en 2015 par Tiphaine Gentilleau, Claire Fretel et Chloé Olivères. Leur première pièce, C'est (un peu) compliqué d'être l'origine du monde, a été publiée aux éditions Actes Sud-Papiers en 2016.",/MyLibrary/Images/Books/113.png
"Gide, André",Les Caves du Vatican,,Roman,,1922,Le Livre de Poche,253,9782330118068,"""- Eh bien ! voilà, commença Valentine après qu'Arnica se fut assise : Le pape... - Non ! Ne me dites pas ! fit aussitôt Mme Fleurissoire, étendant la main devant elle ; puis, poussant un faible cri, elle retomba en arrière, les yeux clos. - Ma pauvre amie ! ma pauvre chère amie, disait la comtesse... Enfin Arnica ouvrit un oeil et murmura tristement : - Il est mort ? Alors Valentine, se penchant vers elle, lui glissa dans l'oreille : - Emprisonné.""",/MyLibrary/Images/Books/114.png
"Giraudoux, Jean",Electre,,Théâtre,,01/11/1967,Le Livre de Poche,192,9782253001294,,/MyLibrary/Images/Books/250.png
"Giraudoux, Jean",La guerre de Troie n'aura pas lieu,,Théâtre,,1935,,0,OCLC:496194041,,/MyLibrary/Images/Books/249.png
"Giraudoux, Jean",Ondine,,Théâtre,,1939,Le Livre de Poche,155,9782253009771,,/MyLibrary/Images/Books/264.png
"Gorz, André",Lettre à D. : Histoire d'un amour,,Autobiographie,,08/01/2009,Folio,96,9782070358861,"« Tu vas avoir quatre-vingt-deux ans. Tu as rapetissé de six centimètres, tu ne pèses que quarante-cinq kilos et tu es toujours belle, gracieuse et désirable. Cela fait cinquante-huit ans que nous vivons ensemble et je t'aime plus que jamais. Je porte de nouveau au creux de ma poitrine un vide dévorant que seule comble la chaleur de ton corps contre le mien.»

André Gorz revient avec cinquante ans de recul sur les années décisives de son histoire. Il restait beaucoup à dire. Car ce n'était pas la sienne seulement.",/MyLibrary/Images/Books/115.png
"Gray, Peter",Apprendre à dessiner,,Dessin,,29/11/2021,TASCHEN,304,9783836587440,"Si vous avez toujours voulu exceller en dessin, Apprendre à dessiner est pour vous. Un crayon, du papier blanc et les conseils présents dans ce livre sont tout ce dont vous avez besoin. Cet ouvrage est conçu pour vous enseigner I'essentiel du dessin et établir les bases qui vous permettront de développer votre style personnel.

Cours progressifs de dessin et
d'illustration, adaptés à tous

Un guide pratique, étape par étape, des exercices faciles et des exemples

Depuis le dessin d'un simple objet, abordez tous les aspects de notre environnement, les personnes et les animaux

Croquis et observation, matériel et théorie, conseils et techniques, tout ce dont vous avez besoin pour créer vos propres dessins et illustrations

Plus de 1000 illustrations",/MyLibrary/Images/Books/57.png
"Guanzon, Thea",Tusk Love,,Romantasy,Prêté à : Baptiste,2025,Random House Books,269,9780593984895,"As the daughter of an ambitious merchant, Guinevere has a predetermined path: marry into a noble house of the Dwendalian Empire, raise her family's station, and live quietly as a lordling's obedient wife. But Guinevere longs for a life unbounded by expectations – for freedom and
passion and adventure.

Those distant dreams become a sudden reality when her caravan is beset by bandits, leaving her guards slain and Guinevere stranded alone on the dangerous Amber Road. Her only chance of survival is to travel alongside Oskar, an aloof half-orc who saved her during the attack.
Despite his cold exterior, Oskar is brave, thoughtful, and unlike anyone Guinevere has ever met. And while Guinevere may be sheltered, she brings out a softness in Oskar that he has never dared to feel before. As the flames of their passion grow, they realize that soon they'll need to choose between their expected destinations and their blossoming romance.",/MyLibrary/Images/Books/37.png
"Guillaume, Valerian",Nul si découvert,,Roman,,2020,L'Olivier,127,9782823615982,"ll salive devant les produits alignés sur les rayons du supermarché. Il prie pour être le gagnant d'un jeu-concours organisé par une marque de nourriture mexicaine. Il adore lorsque les vigiles le palpent à l'entrée du magasin. Il se jette sur les distributeurs de friandises, les buffets en libre-service et les stands de dégustation.
Qui est-il, ce garçon qui sue à grosses gouttes et qui rit même quand on se moque cruellement de lui ? Pourquoi cherche-t-il la chaleur humaine dans les allées du centre commercial?
Depuis qu'il va à la piscine, sa vie a trouvé un sens : Leslie est à l'accueil. C'est un ange, une fée. Elle occupe ses pensées, le rend fou d'amour. Mais pour la conquérir, il lui faudra lutter contre le démon qui s'empare de lui dans les pires moments.

Servi par une écriture singulière et vertigineuse, Nul si découvert nous entraine dans le cerveau d'un personnage habité par une pulsion violente : il doit tout avaler, absorber jusqu'à l'excès, jusqu'au dégoût.

Valérian Guillaume est acteur, auteur et metteur en scène de théâtre. Nul si découvert est son premier roman.",/MyLibrary/Images/Books/116.png
"Guin, Ursula K. Le",The Left Hand of Darkness,SF,Fiction,,15/03/1987,ACE,340,9780441478125,"50TH ANNIVERSARY EDITION—WITH A NEW INTRODUCTION BY DAVID MITCHELL AND A NEW AFTERWORD BY CHARLIE JANE ANDERS

Ursula K. Le Guin’s groundbreaking work of science fiction—winner of the Hugo and Nebula Awards. A lone human ambassador is sent to the icebound planet of Winter, a world without sexual prejudice, where the inhabitants’ gender is fluid. His goal is to facilitate Winter’s inclusion in a growing intergalactic civilization. But to do so he must bridge the gulf between his own views and those of the strange, intriguing culture he encounters... Embracing the aspects of psychology, society, and human emotion on an alien world, The Left Hand of Darkness stands as a landmark achievement in the annals of intellectual science fiction.",/MyLibrary/Images/Books/39.png
"Gurney, James",Dinotopia,,Fantasy,,30/12/2011,Dover,192,9781606600221,"Crossing the boundary between fact and fiction, the illustrator, winner of Best of Show Award at the 1989 World Science Convention, portrays the adventures of the biologist Arthur Denison and his son Will who set out in 1860 on a voyage of exploration. They were not heard of again.",/MyLibrary/Images/Books/179.png
"Hargreaves, Roger",Monsieur Etourdi,,Jeunesse,,09/01/2008,Hachette,40,9782012248472,,/MyLibrary/Images/Books/293.png
Homère,L'Iliade,,Classiques,,18/12/1975,Folio,501,9782070367009,"« Le seul auteur du monde qui n'ait jamais soûlé ni dégoûté les hommes », écrivait Montaigne à propos d'Homère. Et Péguy : « C'est le plus grand. C'est le patron. C'est le père. Il est le maître de tout. » Lire ou relire I'Iiade, c'est pénétrer au cœur des mythes qui ont formé l'imagination de l'Occident, constitué son code moral, ouvert ses yeux à la beauté des femmes, à la noblesse des passions, au prix de l'honneur et de la vie. La vaillance y donne la main à l'amour, le rire à la douleur, aux larmes d'Andromaque, aux cris qui accompagnent la mort des héros. À travers le personnage d'Achille, c'est tout le parfum sauvage des cultures primitives que le livre nous restitue, mais voici Hector et avec lui commence l'humanité moderne.",/MyLibrary/Images/Books/117.png
"Horowitz, Alexandra",On Looking: A Walker's Guide to the Art of Observation,,Essai,,15/04/2014,Scribner Book Company,324,9781439191262,"You are missing most of what is happening around you right now. You are missing what is happening in the distance and right in front of you. In reading these words, you are ignoring an unthinkably large amount of information that continues to bombard all of your senses. The hum of the fluorescent lights; the ambient noise in the room; the feeling of the chair against your legs or back; your tongue touching the roof of your mouth; the tension you are holding in your shoulders or jaw; the constant hum of traffic or a distant lawnmower; the blurred view of your own shoulders and torso in your peripheral vision; a chirp of a bug or whine of a kitchen appliance.

On Looking begins with inattention. It is not meant to help you focus on your reading of Tolstoy; it is not about how to multitask. Rather, it is about attending to the joys of the unattended, the perceived ""ordinary."" Horowitz encourages us to rediscover the extraordinary things that we are missing in our ordinary activities. Even when engaged in the simplest of activities - taking a walk around the block - we pay so little attention to most of what is right before us that we are sleepwalkers in our own lives. So turn off the phone and portable electronics and get into the real world, where you'll find there are worlds within worlds within worlds.",/MyLibrary/Images/Books/53.png
"Huxley, Aldous",After many a summer,,Roman,,1939,Penguin Books,251,9782070367009,"A Hollywood millionaire with a terror of death, whose personal physician happens to be working on a theory of longevity-these are the elements of Aldous Huxley's caustic and entertaining satire on man's desire to live indefinitely. With his customary wit and intellectual sophistication, Huxley pursues his characters in their quest for the eternal, finishing on a note of horror. ""This is Mr. Huxley's Hollywood novel, and you might expect it to be fantastic, extravagant, crazy and preposterous. It is all that, and heaven and hell too....It is the kind of novel that he is particularly the master of, where the most extraordinary and fortuitous events are followed by contemplative little essays on the meaning of life....The story is outrageously good.""― New York Times . ""A highly sensational plot that will keep astonishing you to practically the final sentence.""― The New Yorker . ""Mr. Huxley's elegant mockery, his cruel aptness of phrase, the revelations and the ingenious surprises he springs on the reader are those of a master craftsman; Mr. Huxley is at the top of his form."" ―London Times Literary Supplement .",
"Iacono, Yoann",Le Stradivarius de Goebbels,,"Roman, Historique",,11/01/2023,J'AI LU,288,9782290357569,"En 1943, au nom du rapprochement entre l'Allemagne nazie et l'empire du Japon, Joseph Goebbels offre un Stradivarius à Nejiko Suwa, une jeune virtuose japonaise venue étudier à Berlin. Un geste politique en forme de cadeau empoisonné: le violon a d'abord appartenu à un musicien juif assassiné et, hanté par son âme, il refuse de sonner. Sommée de jouer à travers l'Europe au nom de la propagande nazie, Nejiko répète nuit et jour pour s'approprier le Stradivarius, en vain.

Après-guerre, Félix Sitterlin est chargé par les autorités de la France libre de retrouver l'instrument confisqué.
Mais son enquête se heurte bientôt à un autre mystère: celui de la personnalité de Nejiko qui, des années après, continue de se dérober à la vérité...",/MyLibrary/Images/Books/119.png
"Ibsen, Henrik",Une maison de poupée,,Théâtre,,05/06/2002,Le Livre de Poche,156,9782253052555,,/MyLibrary/Images/Books/265.png
"Inkwright, Fez",Folk ​Magic and Healing,,Essai,,2020,Liminal 11,164,9781912634118,"Discover ​the folklore, history, and healing properties of common plants, from daisies and garlic to oak and rosemary.
 
Plants have always played a vital role in our existence, revered for their healing and nutritional properties and entwined with ancient legends, local spirits, and deities. Folk Magic and Healing gathers many of these beliefs, aiming to inspire a deeper appreciation of our flora and countryside. Stunningly illustrated, this treasury is packed with insight about everyday plants and their magic and mysteries. It covers trees such as beechwood, birch, and fir, and provides an A to Z that ranges from agrimony, boneset, and chamomile to dandelions, lady’s mantle, laurel, and wild strawberry. With folkloric and literary quotes throughout, and background on each plant’s history, Latin name, and medicinal uses, this lovely guide is perfect for plant lovers, gardeners, writers, folklorists, witches, and everyone!",/MyLibrary/Images/Books/61.png
"Jablonka, Ivan",Des hommes justes,,Essai,,2019,Le Seuil,433,9782021401561,"Comment empêcher les hommes de bafouer les droits des femmes? En matière d'égalité entre les sexes, qu'est-ce qu'un «mec bien» ?Il est urgent aujourd'hui de définir une morale du masculin pour toutes les sphères sociales : famille, entreprise, religion, politique, ville, sexualité, langage. Parce que la justice de genre est l'une des conditions de la démocratie, nous avons besoin d'inventer de nouvelles masculinités: des hommes égalitaires, en rupture avec le patriarcat, ćpris de respect plus que de pouvoir. Juste des hommes, mais des hommes justes.",
"Jemisin, N. K.",The Fifth Season,The Broken Earth (tome 1),"SF, Fantasy",,28/07/2016,Orbit,512,9780356508191,"This is what you must remember: the ending of one story is just the beginning of another. This has happened before, after all. People die. Old orders pass. New societies are born. When we say ""the world has ended"" it's usually a lie, because the planet is just fine.
But this is the way the world ends.
This is the way the world ends.
This is the way the uworld ends.
For the last time.",/MyLibrary/Images/Books/38.png
"Kaur, Rupi",The ​Sun and Her Flowers,,Poésie,,2017,Simon & Schuster,248,9781471165825,"From ​Rupi Kaur, the top ten Sunday Times bestselling author of milk and honey, comes her long-awaited second collection of poetry. Illustrated by Kaur, the sun and her flowers is a journey of wilting, falling, rooting, rising and blooming. It is a celebration of love in all its forms. this is the recipe of life said my mother as she held me in her arms as i wept think of those flowers you plantin the garden each year they will teach youthat people toomust wiltfallrootrisein order to bloom Praise for Sunday Times bestseller milk and honey: `Kaur is at the forefront of a poetry renaissance' Observer `Kaur made her name with poems about love, life and grief. They resonate hugely' Sunday Times `Poems tackling feminism, love, trauma and healing in short lines as smooth as pop music' New York Times `Caught the imagination of a large, atypical poetry audience...Kaur knows the good her poetry does: it saves lives' Evening Standard `Breathing new life into poetry...It has people reading, and listening' The Pool",/MyLibrary/Images/Books/17.png
"Kibbitzer; Casalini, Laurence; Vallan, Nelida S.","Human references. Poses, couples, actions, comic panels, and gestures for artists",,Dessin,,28/10/2024,Kudos,160,9788831252195,"""HUMAN REFERENCES"" is a collection of over 140 poses created by Kibbitzer from 2020 to 2024. In this book, you can find. several poses, actions, and gestures to use in your drawings, like reading, Surfing, fighting,
and many more.

The book contains many full-body poses from different angles to help you to foreshorten and place the human figure in an imaginary 3D environment to convey the illusion of depth.
A big part of the book is dedicated to couple poses and interactions, that can be used for comics, layouts and character art.
Inside, you can also find a chapter about comics, with detailed explanations and descriptions on how to choose panels and how to cut your shots to improve your storytelling and composition skills.",/MyLibrary/Images/Books/58.png
"King, Stephen",Dôme,Dôme (tome 1),"Roman, Fantastique",,2013,Le Livre de Poche,830,9782253169789,"Le Dôme : personne n'y entre, personne n'en sort. A la fin de l'automne, la petite ville de Chester Mill, dans le Maine, est inexplicablement et brutalement isolée du reste du monde par un champ de force invisible. Personne ne comprend ce qu'est ce dôme transparent, d'où il vient et quand - ou si - il partira. L'armée semble impuissante à ouvrir un passage tandis que les ressources à l'intérieur de Chester Mill se raréfient. Big Jim Rennie, un politicien pourri jusqu'à l'os, voit tout de suite le bénéfice qu'il peut tirer de la situation, lui qui a toujours rêvé de mettre la ville sous sa coupe. Un nouvel ordre social régi par la terreur s'installe et la résistance s'organise autour de Dale Barbara, vétéran de l'Irak et chef cuistot fraîchement débarqué en ville.",
"Klassen, Jon",The Skull: A Tyrolean Folktale,,Conte,,11/07/2023,Candlewick,112,9781536223361,"In a big abandoned house, on a barren hill, lives a skull. A brave girl named Otilla has escaped from terrible danger and run away, and when she finds herself lost in the dark forest, the lonely house beckons. Her host, the skull, is afraid of something too, something that comes every night. Can brave Otilla save them both? Steeped in shadows and threaded with subtle wit – with rich, monochromatic artwork and an illuminating author’s note – The Skull is as empowering as it is mysterious and foreboding.",/MyLibrary/Images/Books/3.png
"Kolb, Philip",Marcel Proust - Choix de lettres,,,,1965,Plon,,,,/MyLibrary/Images/Books/290.png
"Koltès, Bernard-Marie",Combat de nègre et de chiens,,Théâtre,,02/01/1990,Minuit,86,9782707330840,"« Combat de nègre et de chiens ne parle pas, en tout cas, de l’Afrique et des Noirs – je ne suis pas un auteur africain –, elle ne raconte ni le néocolonialisme ni la question raciale. Elle n’émet certainement aucun avis. Elle parle simplement d’un lieu du monde. On rencontre parfois des lieux qui sont des sortes de métaphores, de la vie ou d’un aspect de la vie, ou de quelque chose qui me paraît grave et évident, comme chez Conrad par exemple les rivières qui remontent dans la jungle... J’avais été pendant un mois en Afrique sur un chantier de travaux publics, voir des amis. Imaginez, en pleine brousse, une petite cité de cinq, six maisons, entourée de barbelés, avec des miradors ; et, à l’intérieur, une dizaine de Blancs qui vivent, plus ou moins terrorisés par l’extérieur, avec des gardiens noirs, armés, tout autour. C’était peu de temps après la guerre du Biafra, et des bandes de pillards sillonnaient la région. Les gardes, la nuit, pour ne pas s’endormir, s’appelaient avec des bruits très bizarres qu’ils faisaient avec la gorge... Et ça tournait tout le temps. C’est ça qui m’avait décidé à écrire cette pièce, le cri des gardes. Et à l’intérieur de ce cercle se déroulaient des drames petits-bourgeois comme il pourrait s’en dérouler dans le seizième arrondissement : le chef de chantier qui couchait avec la femme du contremaître, des choses comme ça... Ma pièce parle peut-être un peu de la France et des Blancs : une chose vue de loin, déplacée, devient parfois plus déchiffrable. Elle parle surtout de trois êtres humains isolés dans un lieu du monde qui leur est étranger, entourés de gardiens énigmatiques. J’ai cru – et je crois encore – que raconter le cri de ces gardes entendu au fond de l’Afrique, le territoire d’inquiétude et de solitude qu’il délimite, c’était un sujet qui avait son importance. » (B.-M. K.) Ce texte, paru aux Éditions de Minuit en janvier 1990, est suivi de notes (Carnets de Combat de nègre et de chiens).",/MyLibrary/Images/Books/123.png
"Koltès, Bernard-Marie",Dans la solitude des champs de coton,,Théâtre,,02/01/1987,Minuit,34,9782707330789,"« Si un chien rencontre un chat – par hasard, ou tout simplement par probabilité, parce qu’il y a tant de chiens et de chats sur un même territoire qu’ils ne peuvent pas, à la fin, ne pas se croiser ; si deux hommes, deux espèces contraires, sans histoire commune, sans langage familier, se trouvent par fatalité face à face – non pas dans la foule ni en pleine lumière, car la foule et la lumière dissimulent les visages et les natures, mais sur un terrain neutre et désert, plat, silencieux, où l’on se voit de loin, où l’on s’entend marcher, un lieu qui interdit l’indifférence, ou le détour, ou la fuite ; lorsqu’ils s’arrêtent l’un en face de l’autre, il n’existe rien d’autre entre eux que de l’hostilité – qui n’est pas un sentiment, mais un acte, un acte d’ennemis, un acte de guerre sans motif. » (B.-M. K.) Dans la solitude des champs de coton est paru en 1986.",/MyLibrary/Images/Books/122.png
"Koltès, Bernard-Marie",La Nuit juste avant les forêts,,Théâtre,,01/02/1988,Minuit,32,9782707330826,"« Le jeune homme que fait parler Koltès, jeune frère de Rimbaud et de Genet, tente de retenir, en usant de tous les mots dont il dispose, un inconnu qu’il a abordé dans la rue un soir où il était seul, seul à en mourir. Il parle, il parle aussi frénétiquement qu’il ferait l’amour, il crie son univers : ces banlieues où l’on traîne sans travailler et où pourtant l’usine guette, ces rues où l’on cherche un être ou une chambre pour une nuit, ou un fragment de nuit, où l’on se cogne à des loubards partant à la chasse aux ratons, aux pédés, un univers nocturne où il est l’étranger, l’orphelin, et qu’il fuit en se cognant partout dans sa difficulté d’être et sa fureur de vivre. » (Gilles Sandier, Le Matin) La Nuit juste avant les forêts est paru aux Éditions de Minuit en 1988.",/MyLibrary/Images/Books/124.png
